,0
0,few
1,fake
2,rich
3,death
4,neat
5,sad
6,fair
7,fine
8,long
9,comic
10,corny
11,equal
12,foxy
13,sick
14,vast
15,local
16,each
17,rare
18,seat
19,loud
20,cold
21,metal
22,lame
23,bile
24,small
25,pale
26,life
27,lush
28,could
29,liver
30,same
31,his
32,some
33,high
34,rural
35,raw
36,TRUE
37,hard
38,shy
39,clean
40,great
41,wild
42,soft
43,meek
44,good
45,grim
46,firm
47,ill
48,black
49,tear
50,bold
51,gassy
52,world
53,wood
54,red
55,lazy
56,cozy
57,grand
58,wary
59,pink
60,mute
61,low
62,front
63,water
64,wise
65,safe
66,rude
67,peer
68,much
69,dual
70,mild
71,only
72,bare
73,pure
74,mere
75,deep
76,gray
77,other
78,top
79,teal
80,sane
81,dull
82,nice
83,any
84,lone
85,ripe
86,holy
87,dry
88,urban
89,zinc
90,royal
91,cute
92,whole
93,awful
94,main
95,airy
96,warm
97,tiny
98,worst
99,busy
100,older
101,first
102,damp
103,wry
104,icy
105,large
106,optic
107,dear
108,slow
109,crazy
110,calm
111,dusty
112,dead
113,big
114,avid
115,one
116,easy
117,daily
118,weak
119,full
120,wet
121,real
122,would
123,oily
124,iffy
125,fresh
126,heavy
127,quiet
128,sunny
129,hind
130,sure
131,hot
132,blue
133,dark
134,tall
135,set
136,lost
137,glass
138,video
139,civil
140,faint
141,under
142,human
143,rosy
144,own
145,tidy
146,wavy
147,brown
148,fatty
149,brain
150,late
151,iced
152,bald
153,keen
154,worn
155,apt
156,posh
157,wide
158,huge
159,old
160,fast
161,next
162,tax
163,loose
164,our
165,clear
166,runny
167,ocean
168,young
169,point
170,trade
171,basic
172,slim
173,far
174,sly
175,smart
176,new
177,thin
178,many
179,dumb
180,sour
181,lax
182,final
183,after
184,just
185,upper
186,half
187,most
188,mad
189,best
190,even
191,woody
192,wiser
193,itchy
194,blunt
195,webby
196,heady
198,funny
199,nasal
200,mossy
201,oozy
202,proud
203,asian
204,rabid
205,sassy
206,cheap
207,alive
208,acrid
211,salty
212,silky
213,waxen
214,lucid
217,vapid
218,leafy
219,herby
220,dense
221,hairy
222,merry
223,nifty
224,wimpy
225,achy
226,fiery
227,gusty
228,ashy
231,inane
232,tacit
234,manic
236,lithe
237,gluey
238,coy
240,crass
241,tardy
242,bogus
243,icier
244,uncut
245,faux
246,racy
247,white
248,veiny
249,cruel
250,wiry
251,sore
252,lying
254,sheer
257,naked
258,stoic
259,ajar
260,undue
261,ashen
262,gutsy
264,laden
265,acute
266,bleak
268,funky
269,muggy
270,burly
271,polar
272,surly
273,fussy
274,mealy
275,baggy
276,messy
277,algal
279,godly
280,flat
281,burnt
282,taut
283,gamy
284,leery
285,sweet
286,lousy
288,unbid
289,girly
290,roman
291,avian
292,drawn
293,bulky
294,curt
295,steep
296,weird
297,cocky
298,musty
299,unlit
300,wonky
301,picky
302,shaky
303,feral
304,campy
305,grey
306,risky
307,axial
309,pupal
310,piney
311,obese
312,overt
313,bumpy
314,crisp
315,penal
316,gaunt
317,staid
320,fetal
321,foul
322,saucy
323,ohmic
325,eery
326,soupy
327,toxic
328,lofty
329,able
330,vague
331,hazy
332,coral
333,scant
334,testy
335,handy
336,bony
338,petit
339,pert
341,milky
342,pricy
343,jerky
344,misty
345,olden
346,truer
347,gilt
350,civic
352,ritzy
353,cagy
354,naval
355,mushy
356,cuter
358,juicy
359,swiss
360,wily
361,jolly
363,tangy
365,timid
366,viral
368,bland
369,awing
370,nutty
371,fuzzy
372,brave
373,sudsy
374,cuban
375,typic
376,ugly
377,tasty
378,warty
379,eager
380,eerie
381,agile
384,unmet
385,green
386,stony
390,adept
391,banal
393,vain
396,newer
397,deaf
399,oral
400,khaki
401,rainy
402,needy
403,vital
404,lunar
407,rusty
408,lucky
409,tawny
411,scary
413,bushy
415,nodal
417,pent
418,semi
419,humid
420,outer
421,inert
422,giddy
423,numb
424,shiny
426,foggy
427,edgy
428,cubic
429,limp
431,soggy
432,puffy
433,tidal
434,savvy
435,plush
436,dizzy
437,chic
438,fated
439,dim
441,false
442,smug
446,modal
452,fewer
455,prone
456,lanky
457,smoky
458,utter
459,stiff
460,squat
463,loyal
464,windy
465,vivid
466,nasty
468,glad
470,stale
471,gated
472,murky
473,livid
474,gruff
477,hefty
478,manly
479,moist
482,tier
484,muddy
486,gaudy
487,lowly
488,muted
489,loath
490,pious
491,dingy
492,shady
493,folic
494,exact
495,sober
500,papal
501,unfit
502,hasty
503,grimy
506,usual
507,nosed
508,dire
509,safer
510,tough
511,fatal
512,tonal
514,phony
515,rigid
516,rife
517,inept
518,dandy
520,naive
521,rough
